name,description,designer,artist,publisher,min_players,max_players,min_playtime,max_playtime,playing_time,min_age,complexity_rating,user_ratings,user_comments,type,category,mechanism,family,year,average_rating
Spruance Leader: Submarines Expansion,Attack Soviet ships as a lone nuclear-powered submarine,Dean Brown,,Dan Verssen Games (DVG),1.0,1.0,45.0,120.0,82.5,,4.0,10,7,Uncategorized,"Expansion for Base-game, + 5 more","Deck Construction, Simulation, Solo / Solitaire Game","Country: Soviet Union, Country: USA, Crowdfunding: Kickstarter, History: Cold War, Players: Solitaire Only Card Games, Players: Solitaire Only Games, + 5 more",2022,8.4
The Christmas Express Game,Race to the North Pole in this holiday adventure.,,,"Late for the Sky Production Company, Outset Media",2.0,4.0,30.0,30.0,30.0,8.0,,3,0,Uncategorized,Children's Game,Track Movement,Holidays: Christmas,2019,4.8
Scrabble Plus Scrabble Junior,Add a Brief Description,Alfred Mosher Butts,,Parker Brothers,2.0,4.0,,,,5.0,,1,0,Uncategorized,Word Game,"End Game Bonuses, Hand Management, Square Grid, Tile Placement","Game: Scrabble, Series: World's Smallest Games Series (Super…, Word Games: Spelling / Letters",2008,4.0
Stranger Things: Identité secrète,Bluff your Hankins friends to win your secret objective before them!,Fabien Fernandez,,Larousse,4.0,6.0,15.0,30.0,22.5,14.0,,4,1,Uncategorized,"Bluffing, Movies / TV / Radio theme, Party Game, Spies/Secret Agents",Hidden Roles,TV Shows: Stranger Things,2022,5.0
Unlock! Kids: Stories from the Past,Escape game for kids,"Cyril Demaegd, Florian Fay, Wilfried Fort, Marie Fort","Olivier Danchin, Rémy Tornior",Space Cow,1.0,4.0,20.0,20.0,20.0,6.0,,36,12,Uncategorized,"Children's Game, Deduction",Deduction,Series: Unlock! (Space Cowboys),2022,7.9
Ohh...igen?,The party game of intimate questions.,"Győri Zoltán Gábor, Győri-Nádai Réka",,Gém Klub Kft.,2.0,6.0,30.0,30.0,30.0,18.0,1.0,14,1,Uncategorized,Party Game,Voting,,2022,6.7
"A Game About Writing Words, Aiming to Match Other Folk Exactly 3 Times.","Match your answers to other players. But no more than three times, or you'll bust!","Kirsten Lunde, Bez Shahriari",,Stuff By Bez,3.0,8.0,10.0,30.0,20.0,10.0,,4,1,Uncategorized,"Card Game, Party Game, Word Game",Push Your Luck,Admin: Upcoming Releases,2022,6.0
Tricky Sixes,A trick-taker that teams fight over areas on a hex board and majority scoring.,Daniel Kenel,,(Looking for a publisher),2.0,4.0,45.0,60.0,52.5,12.0,,5,3,Uncategorized,"Abstract Strategy, Card Game","Area Majority / Influence, Set Collection, Team-Based Game, Trick-taking",,2022,7.8
,Make appointments with your fellow ghosts by knocking under the table.,Miyuki Furumachi,Hiko Tokota,Bouken,3.0,5.0,10.0,15.0,12.5,8.0,,2,1,Uncategorized,"Bluffing, Card Game, Fantasy","Communication Limits, Simultaneous Action Selection",,,6.8
,Tarot inspired trick taker with set collection and various ways to score.,Daniel Kenel,,(Looking for a publisher),3.0,4.0,30.0,45.0,37.5,12.0,,7,4,Uncategorized,Card Game,"Hand Management, Set Collection, Trick-taking",Admin: Upcoming Releases,,7.7
Tricky Rails,A pick-up and deliver game that is driven by trick-taking and special actions.,Daniel Kenel,,(Looking for a publisher),4.0,4.0,45.0,60.0,52.5,12.0,,7,8,Uncategorized,"Card Game, Trains","Pick-up and Deliver, Trick-taking",,2022,8.1
Lakshadweep,Build the exotic islands of Lakshadweep!,Sidhant Chand,Mazhar Kothari,Luma World,2.0,2.0,30.0,45.0,37.5,10.0,2.0,55,33,Uncategorized,"City Building, Environmental, Territory Building","Area Majority / Influence, Map Addition, Pieces as Map, Tile Placement","Country: India, Theme: Environmental Protection / Degradation /…, Theme: Tropical Islands",2023,8.5
Sharks Feeding Frenzy,Sharks fight against each other to get the most food.,Rocky Davies,Rocky Davies,(Self-Published),2.0,6.0,45.0,45.0,45.0,10.0,,9,2,Uncategorized,"Fighting, Humor, Nautical","Roll / Spin and Move, Take That, Tile Placement","Admin: Upcoming Releases, Animals: Sharks",2022,3.7
